City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
248,newnham,-41.3833,147.1333,294.68,46,100,6.69,AU,1697682944
249,beloyarskiy,63.7119,66.6722,275.37,77,20,4.47,RU,1697682944
250,qarauyl,48.9451,79.255,283.84,46,0,4.4,KZ,1697682691
251,al bayda',32.7627,21.7551,291.54,40,55,3.02,LY,1697682945
252,byron bay,-28.65,153.6167,295.21,51,21,5.67,AU,1697682724
253,santo antonio do taua,-1.1519,-48.1294,299.12,94,35,1.91,BR,1697682945
254,kulhudhuffushi,6.6221,73.07,300.72,76,71,3.33,MV,1697682945
255,puerto armuelles,8.2833,-82.8667,300.42,72,100,2.24,PA,1697682701
256,lamarque,-39.423,-65.7021,285.61,69,100,8.74,AR,1697682945
257,hadibu,12.65,54.0333,300.65,79,2,1.94,YE,1697682704
258,mili,6.0815,171.735,301.23,73,85,3.24,MH,1697682647
259,san luis de la loma,17.2706,-100.8939,296.97,92,100,2.18,MX,1697682946
260,rongelap,11.1635,166.8941,301.19,76,84,7.47,MH,1697682636
261,lerwick,60.1545,-1.1494,283.15,80,16,14.29,GB,1697682672
262,mar del plata,-38.0023,-57.5575,285.34,70,0,2.06,AR,1697682705
263,san rafael,-34.6177,-68.3301,283.83,79,93,1.9,AR,1697682946
264,chernyshevskiy,63.0128,112.4714,269.94,84,100,2.31,RU,1697682946
265,constantia,44.1833,28.65,280.76,80,53,4.64,RO,1697682639
266,bengkulu,-3.8004,102.2655,300.78,69,65,2.05,ID,1697682946
267,monguno,12.6786,13.6079,300.73,43,90,3.91,NG,1697682947
268,bardai,11.65,7.2333,296.31,32,88,3.24,NG,1697682947
269,susanville,40.4163,-120.653,289.06,48,0,3.09,US,1697682947
270,bhamo,24.2667,97.2333,301.07,52,2,0.77,MM,1697682947
271,sinan,34.8262,126.1086,294.21,82,78,5.26,KR,1697682947
272,lompoc,34.6391,-120.4579,295.94,94,0,2.06,US,1697682628
273,kerimaki,61.9167,29.2833,273.12,93,100,3.09,FI,1697682947
274,gwadar,25.1216,62.3254,299.6,78,21,1.22,PK,1697682677
275,dunedin,-45.8742,170.5036,288.77,58,89,2.01,NZ,1697682948
276,morondava,-20.2833,44.2833,296.92,82,64,2.47,MG,1697682948
277,pisco,-13.7,-76.2167,292.18,88,87,2.57,PE,1697682948
278,watton,53.9333,-0.45,288.28,94,100,9.77,GB,1697682948
279,san antonio de pale,-1.4014,5.6325,299.02,86,100,5.02,GQ,1697682649
